Commune,Nombre de ventes,Prix moyen au m²,Nombre de VEFA,Densité par km²,Année,Salaire moyen
Kopstal,10,9 107 ,25,521.01,2021,8967.37
Larochette,17,6 138 ,0,144.16,2021,4210.33
Leudelange,20,9 313 ,0,199.26,2021,8661.13
Lintgen,19,8 251 ,8,212.13,2021,5306.18
Lorentzweiler,11,8 584 ,35,249.17,2021,6165.62
Mamer,49,8 181 ,52,371.02,2021,7891.39
Mersch,41,7 697 ,23,201.41,2021,5160.08
Mertert,24,6 314 ,84,308.39,2021,5133.37
Mondercange,32,7 744 ,8,326.26,2021,6365.6
Mondorf-les-Bains,59,7 520 ,4,395.61,2021,5273.73
Parc Hosingen,12,5 505 ,13,52.82,2021,4583.33
Reckange-sur-Mess,10,7 157 ,1,128.99,2021,7058.02
Remich,24,7 764 ,14,715.88,2021,4987.02
Roeser,54,8 685 ,33,275.63,2021,6341.13
Rumelange,31,6 225 ,0,821.82,2021,3865.52
Sandweiler,14,8 601 ,10,473.35,2021,7825.52
Sanem,125,7 696 ,169,732.8,2021,4929.55
Schengen,20,6 901 ,0,157.73,2021,5448.72
Schieren,10,6 952 ,1,199.14,2021,5080.52
Schifflange,105,8 053 ,1,1464.46,2021,4332.56
Schuttrange,10,8 403 ,8,265.34,2021,8892.55
Stadtbredimus,10,7 173 ,3,193.51,2021,5660.74
Steinfort,23,7 348 ,21,461.92,2021,5841.37
Steinsel,19,9 338 ,59,252.18,2021,7642.78
Strassen,70,10 159 ,10,956.96,2021,8843.49
Berdorf,13,7 336 ,2,90.47,2022,5066.46
Bertrange,44,11 639 ,32,490.51,2022,9914.02
Bettembourg,51,8 072 ,0,530.71,2022,5840.26
Betzdorf,11,8 388 ,1,157.48,2022,8792.63
Bissen,15,8 068 ,4,160.43,2022,5510.51
Clervaux,33,6 000 ,26,67.87,2022,4623.57
Colmar-Berg,10,7 646 ,6,184.32,2022,5274.28
Contern,19,9 463 ,3,203.26,2022,8885.62
Diekirch,40,8 001 ,19,577.13,2022,4937.01
Differdange,264,7 723 ,39,1291.3,2022,4038.21
Dippach,17,8 204 ,0,257.98,2022,6899.23
Dudelange,129,7 767 ,4,1009.49,2022,5154.55
